                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72372,                0.46469,                0.92294,                0.99818,                      1,                  0.995,                0.85644,                0.58622,                0.69182,                0.84715,              0.0013268,              0.0013268,              0.0013268
                     37,                0.74183,                0.45799,                0.92521,                0.99881,                      1,                  0.995,                0.83805,                 0.6297,                0.65354,                0.84242,               0.001307,               0.001307,               0.001307
                     38,                0.65462,                0.45896,                0.90227,                0.99879,                      1,                  0.995,                 0.8592,                 0.5575,                0.65776,                0.83681,              0.0012872,              0.0012872,              0.0012872
                     39,                0.63047,                0.40064,                0.90107,                0.99733,                      1,                  0.995,                0.83929,                0.62742,                 0.6318,                0.85305,              0.0012674,              0.0012674,              0.0012674
                     40,                0.65655,                0.42379,                0.90407,                0.99627,                      1,                  0.995,                0.84622,                0.60472,                0.52955,                0.86718,              0.0012476,              0.0012476,              0.0012476
                     41,                0.65105,                0.42477,                0.91045,                0.99636,                      1,                  0.995,                0.83751,                0.65098,                0.44148,                0.85886,              0.0012278,              0.0012278,              0.0012278
                     42,                0.68129,                0.41579,                0.91924,                0.99743,                      1,                  0.995,                0.83626,                0.65295,                0.38301,                0.85503,               0.001208,               0.001208,               0.001208
                     43,                0.69247,                0.44776,                0.91253,                0.99851,                      1,                  0.995,                 0.8772,                0.56086,                0.36511,                0.84102,              0.0011882,              0.0011882,              0.0011882
                     44,                0.66737,                 0.4253,                0.88547,                0.99885,                      1,                  0.995,                0.84649,                0.61463,                0.37909,                0.85774,              0.0011684,              0.0011684,              0.0011684
                     45,                0.78721,                0.46324,                0.88809,                0.99884,                      1,                  0.995,                0.86118,                0.59454,                 0.3727,                0.86159,              0.0011486,              0.0011486,              0.0011486
                     46,                0.70304,                0.43915,                0.90987,                0.99887,                      1,                  0.995,                0.86592,                0.59135,                 0.3621,                 0.8682,              0.0011288,              0.0011288,              0.0011288
                     47,                0.66588,                0.41161,                0.89322,                0.99888,                      1,                  0.995,                0.82938,                0.69329,                 0.4042,                0.88932,               0.001109,               0.001109,               0.001109
                     48,                 0.7958,                0.48716,                0.90077,                0.99885,                      1,                  0.995,                0.83161,                0.68213,                0.45453,                0.87188,              0.0010892,              0.0010892,              0.0010892
                     49,                0.65232,                0.42468,                0.90611,                0.99884,                      1,                  0.995,                0.89808,                0.51553,                0.39838,                0.83229,              0.0010694,              0.0010694,              0.0010694
                     50,                0.65342,                0.41392,                0.88983,                0.99882,                      1,                  0.995,                0.88618,                0.55049,                0.38969,                0.84212,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70632,                0.42608,                0.91528,                0.99884,                      1,                  0.995,                0.89639,                0.51443,                0.36725,                0.82625,              0.0010298,              0.0010298,              0.0010298
